Date,Ticker,Open,High,Low,Close,Volume,percentage_change
2025-10-12,ADA-USD,0.6321430206298828,0.7082160115242004,0.6215239763259888,0.7015050053596497,1600069384,0.10966027481986984
2025-10-12,AVAX-USD,21.47236442565918,23.327850341796875,20.714027404785156,22.583330154418945,1271748794,0.051733069693198575
2025-10-12,BNB-USD,1137.1993408203125,1319.77197265625,1110.1973876953125,1303.1173095703125,10201040572,0.14590051435513152
2025-10-12,BTC-USD,110811.515625,115805.0625,109715.5390625,115169.765625,93710414091,0.03936437283871608
2025-10-12,DOGE-USD,0.1854410022497177,0.21404899656772614,0.18175600469112396,0.20779499411582947,5183180935,0.12053296824578874
2025-10-12,DOT-USD,3.000277042388916,3.3040459156036377,2.9237799644470215,3.2469899654388428,427368745,0.08221637345716659
2025-10-12,ETH-USD,3750.946044921875,4195.3974609375,3701.478271484375,4164.427734375,61216174681,0.11033298280456205
2025-10-12,SOL-USD,178.0561981201172,198.8739776611328,173.52139282226562,197.508544921875,11797041281,0.10926099828279434
2025-10-12,USDT-USD,1.0011110305786133,1.0019750595092773,0.9999060034751892,1.0012569427490234,217858899877,0.00018374277725952126
2025-10-12,XRP-USD,2.385956048965454,2.581763982772827,2.3209729194641113,2.5349578857421875,9877639191,0.06243795924150741
2025-10-13,ADA-USD,0.7014551758766174,0.728702962398529,0.6985334157943726,0.714760422706604,1944799232,0.018895684629019138
2025-10-13,AVAX-USD,22.565793991088867,23.032535552978516,21.954357147216797,22.734642028808594,1674844032,0.006700157742680846
2025-10-13,BNB-USD,1302.90234375,1370.0291748046875,1258.0582275390625,1276.0146484375,12954664960,-0.020798327927782134
2025-10-13,BTC-USD,115091.0390625,115845.421875,113943.1015625,114277.671875,90309025792,-0.007745902278769146
2025-10-13,DOGE-USD,0.20768244564533234,0.21263116598129272,0.20528559386730194,0.2090570628643036,5723378176,0.006073624409693945
2025-10-13,DOT-USD,3.246920585632324,3.363233804702759,3.208185911178589,3.3126494884490967,480068352,0.020221658739059123
2025-10-13,ETH-USD,4159.21630859375,4199.96240234375,4068.547607421875,4123.20458984375,60278775808,-0.009898873785460616
2025-10-13,SOL-USD,197.445556640625,199.21832275390625,192.0428466796875,196.8958740234375,11342023680,-0.0031019969221071086
2025-10-13,USDT-USD,1.001237392425537,1.001431941986084,1.0004973411560059,1.0010111331939697,225263468544,-0.0002455009743840275
2025-10-13,XRP-USD,2.534430742263794,2.6404926776885986,2.5229969024658203,2.5826315879821777,10123631616,0.018806506612251805
